Entity,Relation,Entity,Weight
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, heatmap, 257
is_monotonic_True, is_monotonic, box, 12654
max between 19.999878525272493 and 56.596889114379884, max, line, 9056
is_monotonic_False, is_monotonic, line, 4044
unique_percent between 0.5887225893235976 and 2, unique_percent, bar, 3860
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, box, 3346
range between 1.884129064832964 and 6.755743844124582, range, bar, 2595
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, bar, 4489
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, histogram, 853
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, bar, 3439
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, histogram, 705
is_monotonic_True, is_monotonic, line, 72818
normalized_median between 0.9933362595496638 and 2, normalized_median, bar, 3452
range between 164.9013685854019 and 27356.06338867178, range, heatmap, 138
percent_outliers_15iqr between 0.9843483797965511 and 1.9849246144294739, percent_outliers_15iqr, line, 14845
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, heatmap, 107
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, bar, 3612
median between 273.1241935483871 and 10816.114516129033, median, box, 2423
quantitative, general_type, scatter, 70214
is_unique_True, is_unique, box, 969
median between 5.251452979118592 and 30.791238223660386, median, scatter, 15647
Sixth-order moment between 3.704795885762886e-13 and 24.470863465339907, Sixth-order moment, scatter, 7623
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, histogram, 923
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, heatmap, 189
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, box, 707
std between 5.671287387417208 and 28.3294898925289, std, histogram, 828
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, bar, 4503
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, bar, 4377
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, box, 2432
median between 273.1241935483871 and 10816.114516129033, median, line, 13456
field_name_length between 5.044516129032258 and 39, field_name_length, heatmap, 892
is_unique_True, is_unique, line, 15095
skewness between 3.101168877463187 and 4.461349153518679, skewness, bar, 8444
lin_space_sequence_coeff between 0.683453381061554 and 1.0657484795201209, lin_space_sequence_coeff, line, 7330
has_none_True, has_none, box, 456
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, scatter, 8675
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, bar, 3155
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, scatter, 8453
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, box, 2070
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, bar, 3285
has_none_True, has_none, line, 3551
has_none_False, has_none, histogram, 5446
y, symbol_in_name, scatter, 27786
med_abs_dev between 2.42659167633974e-05 and 0.7801671246847796, med_abs_dev, box, 2635
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, box, 2696
is_log_space_False, is_log_space, scatter, 73596
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, box, 2479
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, scatter, 8925
kurtosis between 12.258251583653111 and 19.761921501159687, kurtosis, line, 7240
kurtosis between -0.17026565258541418 and 1.5766148755627292, kurtosis, bar, 3541
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, bar, 3774
avg_abs_dev between 4.595696832287696 and 21.805817592374737, avg_abs_dev, line, 13650
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, scatter, 13676
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, box, 2568
var between 2.5077526515815407e-05 and 1.6052005600929224, var, box, 866
normalized_median between 0.3451659363508224 and 0.5100700477919271, normalized_median, line, 10351
std between 3000.4648240612346 and 10530.733789062511, std, histogram, 686
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, bar, 4603
sortedness between 0.7945867153906053 and 2, sortedness, scatter, 7842
gini between 0.381471216414244 and 0.5444116135758735, gini, bar, 4947
entropy between 4.227416124036235 and 7.226597045621564, entropy, scatter, 7703
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, line, 11708
time, symbol_in_name, bar, 139
var between 2.5077526515815407e-05 and 1.6052005600929224, var, line, 9119
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, bar, 3492
is_unique_False, is_unique, histogram, 5352
max between 5.469374160151328 and 19.999878525272493, max, bar, 3185
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, heatmap, 62
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, heatmap, 77
log_space_sequence_coeff between 0.528290071314381 and 1.5822714805603022, log_space_sequence_coeff, histogram, 148
skewness between -0.393793818426709 and -0.008621457328779548, skewness, box, 2074
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, heatmap, 84
max between 56.596889114379884 and 639.0702552057083, max, bar, 3998
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, histogram, 994
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, box, 2250
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, scatter, 17325
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, scatter, 18104
percent_outliers_15iqr between 0.9085796858033826 and 0.9596259197881145, percent_outliers_15iqr, histogram, 835
is_lin_space_False, is_lin_space, scatter, 69220
ninth-order moment between 0.8167481387046068 and 15399884.174838709, ninth-order moment, line, 23566
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, heatmap, 156
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, scatter, 18965
range between 164.9013685854019 and 27356.06338867178, range, box, 2064
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, box, 1307
is_log_space_True, is_log_space, heatmap, 75
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, scatter, 10044
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, histogram, 963
range between 164.9013685854019 and 27356.06338867178, range, line, 10856
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, scatter, 13554
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, box, 4583
Eigthth-order moment between 2.5877225658845137e+24 and 3379487092891821000000000000, Eigthth-order moment, line, 8346
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, heatmap, 84
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, heatmap, 84
field_name_length between 5.044516129032258 and 39, field_name_length, box, 4864
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, scatter, 9285
sortedness between 0.41998404109189585 and 0.7945867153906053, sortedness, line, 12886
field_name_length between 5.044516129032258 and 39, field_name_length, line, 26008
is_only_field_False, is_only_field, scatter, 78773
temporal, general_type, scatter, 3926
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, heatmap, 190
pound, symbol_in_name, scatter, 2
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, heatmap, 97
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, heatmap, 103
isnormal_1, is_normal, scatter, 30479
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, scatter, 8243
var between 802.6463076486889 and 8941665.196451588, var, histogram, 798
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, heatmap, 148
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, histogram, 549
gini between 0.0039505421844941435 and 0.09158154010772704, gini, scatter, 8684
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, histogram, 511
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, bar, 3933
mean between 4.191202395962129 and 31.850277947456604, mean, scatter, 13712
normality_statistic between 11.224123300121676 and 40.29032087326056, normality_statistic, scatter, 10692
hasoutliers_1_99, has_outliers, histogram, 4526
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, bar, 6857
entropy between 1.3727904235932133 and 2.299301989847614, entropy, heatmap, 32
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, histogram, 921
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, heatmap, 106
first_char_uppercase_name_True, first_char_uppercase_name, histogram, 3205
mean between 31.850277947456604 and 281.8860048355595, mean, heatmap, 204
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, bar, 3759
max between 639.0702552057083 and 26214.49350302417, max, histogram, 978
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, bar, 2578
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, box, 1164
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, box, 2057
mean between 281.8860048355595 and 8262.562250976542, mean, histogram, 887
x, symbol_in_name, bar, 9788
id, symbol_in_name, scatter, 33
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, box, 1671
std between 28.3294898925289 and 3000.4648240612346, std, bar, 5348
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, scatter, 12599
percent_outliers_3iqr between 0.8054596785576112 and 0.9000023295802455, percent_outliers_3iqr, line, 6847
ninth-order moment between 15399884.174838709 and 728152499793781000, ninth-order moment, line, 8084
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, scatter, 66592
coeff_var between 1.7603407242221216 and 5.826227477519748, coeff_var, line, 8065
Tenth-order moment between 5.38823068933106e+26 and 318892623097554200000000000000, Tenth-order moment, histogram, 627
Eigthth-order moment between 7902707318.585811 and 313954491464076.7, Eigthth-order moment, histogram, 1237
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, scatter, 9201
range between 0.0010489814216270439 and 1.884129064832964, range, histogram, 499
std between 1.265435202025598 and 5.671287387417208, std, histogram, 1877
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, box, 1337
gini between 0.2661612808704376 and 0.381471216414244, gini, bar, 3101
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, heatmap, 140
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, scatter, 7647
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, box, 2370
is_log_space_True, is_log_space, box, 699
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, heatmap, 103
normalized_mean between 0.5259337732099718 and 0.6351002664527585, normalized_mean, line, 11759
sortedness between 0.08363238902341927 and 0.41998404109189585, sortedness, histogram, 2146
is_lin_space_True, is_lin_space, bar, 3942
normalized_mean between 0.40559448752191757 and 0.5259337732099718, normalized_mean, line, 9868
is_log_space_True, is_log_space, line, 6685
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, box, 2109
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, box, 1366
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, scatter, 14512
normalized_median between 0.0006439799570568022 and 0.3451659363508224, normalized_median, histogram, 1276
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, heatmap, 123
Seventh-order moment between 35631.60671685986 and 29994971860657480000, Seventh-order moment, line, 8383
kurtosis between -0.8387569783387646 and -0.17026565258541418, kurtosis, line, 8665
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, box, 2514
is_only_field_True, is_only_field, histogram, 2056
box, trace_type, box, 13875
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, heatmap, 99
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, box, 1249
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, bar, 6556
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, box, 1768
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, scatter, 17703
quant_coeff_disp between 0.34838628983305325 and 1.5, quant_coeff_disp, histogram, 681
coeff_var between 5.826227477519748 and 326.19710867604397, coeff_var, histogram, 574
length between 29.32 and 4350, length, heatmap, 348
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, box, 1484
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, line, 10892
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, line, 7461
normality_statistic between 40.29032087326056 and 278.8104670961443, normality_statistic, line, 8988
lin_space_sequence_coeff between 1.6128226203303184 and 3.0317178572377843, lin_space_sequence_coeff, histogram, 630
normality_statistic between 278.8104670961443 and 2755.4830602633538, normality_statistic, line, 8788
gini between 0.09158154010772704 and 0.1794668331501945, gini, bar, 3588
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, heatmap, 264
entropy between 1.3727904235932133 and 2.299301989847614, entropy, box, 734
Third Quartile between 18.23213297659351 and 2009.0132802261844, Third Quartile, histogram, 941
dollar, symbol_in_name, scatter, 153
normalized_range between 0.02345926997161677 and 0.46508866788879516, normalized_range, bar, 3922
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, box, 1739
First Quartile between 2.486012015035075 and 17.989219874720412, First Quartile, bar, 4419
mean between 31.850277947456604 and 281.8860048355595, mean, box, 3040
First Quartile between 0.003832620927958784 and 0.993269883817242, First Quartile, bar, 6988
number_of_words_in_name between 1 and 8, number_of_words_in_name, histogram, 3383
entropy between 1.3727904235932133 and 2.299301989847614, entropy, line, 7055
y, symbol_in_name, bar, 15525
has_none_True, has_none, bar, 781
kurtosis between -1.484341488230613 and -1.1909797564629585, kurtosis, line, 15868
mean between 31.850277947456604 and 281.8860048355595, mean, line, 14264
normalized_mean between 0.9896777660615983 and 2, normalized_mean, scatter, 10787
is_log_space_False, is_log_space, bar, 37381
min between 69.52466286197784 and 2234.3465037487395, min, histogram, 697
coeff_var between 0.0032526775221940305 and 0.6636052427753325, coeff_var, bar, 3700
hasoutliers_3iqr, has_outliers, histogram, 4504
percent_outliers_3iqr between 0.9631309172030419 and 0.9775492457612869, percent_outliers_3iqr, histogram, 1235
min between 9.322483742621632 and 69.52466286197784, min, scatter, 8590
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, scatter, 15995
unique_percent between 0.5887225893235976 and 2, unique_percent, heatmap, 375
Fifth-order moment between 602660358950995.5 and 361064105139765250, Fifth-order moment, bar, 7243
range between 1.884129064832964 and 6.755743844124582, range, heatmap, 84
quantitative, general_type, histogram, 5027
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, box, 2254
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, heatmap, 60
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, heatmap, 68
sortedness between 0.7945867153906053 and 2, sortedness, bar, 5005
normalized_median between 0.9933362595496638 and 2, normalized_median, heatmap, 57
entropy between 4.227416124036235 and 7.226597045621564, entropy, bar, 2534
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, box, 1675
hasoutliers_15iqr, has_outliers, scatter, 63220
percent_outliers_1_99 between 0.990797292186368 and 2, percent_outliers_1_99, bar, 1284
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, scatter, 15429
Sixth-order moment between 44125102529.89933 and 131908579289215120000, Sixth-order moment, line, 11713
gini between 0.1794668331501945 and 0.2661612808704376, gini, scatter, 10633
std between 3000.4648240612346 and 10530.733789062511, std, heatmap, 153
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, scatter, 10662
var between 1.6052005600929224 and 32.22537642817343, var, scatter, 18310
quant_coeff_disp between 0.019905503821228736 and 0.34838628983305325, quant_coeff_disp, histogram, 568
digit, symbol_in_name, histogram, 2129
ninth-order moment between -1401645.8064516135 and -8.465492734351432e-15, ninth-order moment, line, 10265
mean between 8262.562250976542 and 26053.242773437632, mean, bar, 4103
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, heatmap, 82
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, heatmap, 133
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, box, 1726
decimal, data_type, scatter, 44302
kurtosis between -1.1909797564629585 and -0.8387569783387646, kurtosis, bar, 4552
skewness between 3.101168877463187 and 4.461349153518679, skewness, heatmap, 144
quant_coeff_disp between 8.880032987873733e-07 and 0.0017868509422987189, quant_coeff_disp, bar, 6555
is_lin_space_False, is_lin_space, bar, 36258
normalized_mean between 0.12335866319556385 and 0.40559448752191757, normalized_mean, line, 8952
Fifth-order moment between -5.119229860089301e-08 and 0.35549705584202634, Fifth-order moment, scatter, 9082
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, box, 2159
normality_statistic between 2.4420980342741934 and 11.224123300121676, normality_statistic, scatter, 9732
skewness between 0.0014703517027138925 and 0.6223711049364465, skewness, bar, 8963
Sixth-order moment between 2608316.9706451613 and 44125102529.89933, Sixth-order moment, scatter, 17258
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, heatmap, 48
normality_p between 1.414449563859021e-12 and 0.0004431203660561995, normality_p, scatter, 19759
median between 30.791238223660386 and 273.1241935483871, median, scatter, 13967
gini between 0.5444116135758735 and 1.7769320607185364, gini, scatter, 8600
length between 29.32 and 4350, length, box, 5566
avg_abs_dev between 0.8992536992026909 and 4.595696832287696, avg_abs_dev, histogram, 1834
Seventh-order moment between 29994971860657480000 and 42188275653726420000000, Seventh-order moment, scatter, 15024
normalized_median between 0.6504355974735753 and 0.8352578886189768, normalized_median, bar, 3324
med_abs_dev between 2.1782844193520083 and 13.45003824418591, med_abs_dev, histogram, 828
med_abs_dev between 2452.4554838709664 and 3574.3924560546875, med_abs_dev, histogram, 711
normality_p between 0.11218227241308455 and 0.590958889088323, normality_p, line, 9393
is_sorted_False, is_sorted, scatter, 43522
length between 29.32 and 4350, length, line, 37106
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, heatmap, 143
skewness between -0.008621457328779548 and 0.0014703517027138925, skewness, bar, 2369
Third Quartile between 2009.0132802261844 and 4188.793847656234, Third Quartile, heatmap, 119
is_nan_src, is_x_or_y, box, 1
normality_statistic between 2755.4830602633538 and 6167.3212890625, normality_statistic, scatter, 9208
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, box, 3466
First Quartile between 17.989219874720412 and 2000.9977107878653, First Quartile, scatter, 10339
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, heatmap, 45
gini between 0.381471216414244 and 0.5444116135758735, gini, heatmap, 238
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, heatmap, 79
is_only_field_False, is_only_field, bar, 40097
time, symbol_in_name, heatmap, 4
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, heatmap, 273
is_nan_src, is_x_or_y, line, 7
temporal, general_type, bar, 991
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, heatmap, 107
Third Quartile between 0.007131026095875904 and 1.65858569099057, Third Quartile, line, 23320
pound, symbol_in_name, bar, 6
kurtosis between 1.5766148755627292 and 12.258251583653111, kurtosis, bar, 3513
Fifth-order moment between 6066.188035534273 and 602660358950995.5, Fifth-order moment, scatter, 8472
gini between 0.0039505421844941435 and 0.09158154010772704, gini, bar, 5167
max between 56.596889114379884 and 639.0702552057083, max, heatmap, 131
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, heatmap, 124
mean between 4.191202395962129 and 31.850277947456604, mean, bar, 5812
is_sorted_True, is_sorted, histogram, 1079
num_uppercase_characters between 0 and 6, num_uppercase_characters, heatmap, 682
Eigthth-order moment between 313954491464076.7 and 2.5877225658845137e+24, Eigthth-order moment, bar, 3733
unique_percent between 0.5887225893235976 and 2, unique_percent, box, 3255
range between 1.884129064832964 and 6.755743844124582, range, box, 1580
quant_coeff_disp between 0.0017868509422987189 and 0.019905503821228736, quant_coeff_disp, histogram, 342
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, box, 874
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, box, 1804
normalized_median between 0.9933362595496638 and 2, normalized_median, box, 1859
normalized_range between 2.6604745115772372 and 21.228070812840617, normalized_range, histogram, 440
has_none_False, has_none, scatter, 77076
unique_percent between 0.5887225893235976 and 2, unique_percent, line, 5887
range between 1.884129064832964 and 6.755743844124582, range, line, 9113
Tenth-order moment between 2553332197612499.5 and 5.38823068933106e+26, Tenth-order moment, box, 1799
Eigthth-order moment between 6.96370545438728e-17 and 105.55832996983654, Eigthth-order moment, line, 9160
normalized_mean between 0.7784608491774528 and 0.9896777660615983, normalized_mean, line, 7437
normalized_median between 0.9933362595496638 and 2, normalized_median, line, 9559
id, symbol_in_name, bar, 55
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, box, 1278
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, box, 3615
med_abs_dev between 13.45003824418591 and 2452.4554838709664, med_abs_dev, histogram, 911
ninth-order moment between 728152499793781000 and 47793618722611780000000000, ninth-order moment, bar, 4998
percent_outliers_3std between 0.029580399275066338 and 1.0322580635547638, percent_outliers_3std, bar, 27424
skewness between 3.101168877463187 and 4.461349153518679, skewness, box, 3482
Tenth-order moment between 2059.777588441911 and 26054988855.494198, Tenth-order moment, histogram, 1160
isnormal_1, is_normal, histogram, 3427
log_space_sequence_coeff between 0.19951813624751183 and 0.528290071314381, log_space_sequence_coeff, line, 8030
Sixth-order moment between 24.470863465339907 and 2608316.9706451613, Sixth-order moment, line, 15084
Seventh-order moment between -1.1803249820933024e-29 and 0.035443333685398086, Seventh-order moment, bar, 2044
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, box, 1627
is_unique_False, is_unique, scatter, 61357
Tenth-order moment between 9.571977461719663e-21 and 0.09400793363971076, Tenth-order moment, bar, 4489
skewness between 3.101168877463187 and 4.461349153518679, skewness, line, 13557
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, box, 1944
normality_p between 0.0004431203660561995 and 0.11218227241308455, normality_p, line, 8431
entropy between 2.299301989847614 and 3.0664403364735264, entropy, histogram, 264
coeff_var between 326.19710867604397 and 8927.435058593765, coeff_var, scatter, 17087
normalized_range between 0.46508866788879516 and 1.0605909924353323, normalized_range, line, 8923
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, heatmap, 58
median between 10816.114516129033 and 17753.6826171875, median, histogram, 389
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, box, 1499
Tenth-order moment between 26054988855.494198 and 2553332197612499.5, Tenth-order moment, bar, 6308
lin_space_sequence_coeff between 1.0657484795201209 and 1.6128226203303184, lin_space_sequence_coeff, histogram, 322
First Quartile between 2000.9977107878653 and 3760.39501953125, First Quartile, heatmap, 110
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, box, 225
range between 6.755743844124582 and 34.0001273493613, range, bar, 3931
normalized_median between 0.5100700477919271 and 0.6504355974735753, normalized_median, line, 11253
gini between 0.381471216414244 and 0.5444116135758735, gini, box, 1685
time, symbol_in_name, box, 54
log_space_sequence_coeff between 0.004471472915141768 and 0.030450508665413562, log_space_sequence_coeff, histogram, 536
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, box, 2412
avg_abs_dev between 21.805817592374737 and 2579.8562310987904, avg_abs_dev, histogram, 795
normalized_median between 0.8352578886189768 and 0.9933362595496638, normalized_median, heatmap, 74
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, box, 1779
lin_space_sequence_coeff between 12.837174805364283 and 19.22040605545044, lin_space_sequence_coeff, heatmap, 246
lin_space_sequence_coeff between 0.18473562403071303 and 0.683453381061554, lin_space_sequence_coeff, line, 10305
gini between 0.381471216414244 and 0.5444116135758735, gini, line, 14470
Tenth-order moment between 0.09400793363971076 and 2059.777588441911, Tenth-order moment, line, 8715
Eigthth-order moment between 105.55832996983654 and 7902707318.585811, Eigthth-order moment, bar, 4551
x, symbol_in_name, heatmap, 227
range between 34.0001273493613 and 164.9013685854019, range, histogram, 885
log_space_sequence_coeff between 0.10070002636121156 and 0.19951813624751183, log_space_sequence_coeff, bar, 3949
time, symbol_in_name, line, 404
Fifth-order moment between 0.35549705584202634 and 6066.188035534273, Fifth-order moment, line, 25129
Seventh-order moment between -8080.4938661637225 and -1.1803249820933024e-29, Seventh-order moment, line, 10771
max between 56.596889114379884 and 639.0702552057083, max, box, 1608
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, box, 2364
std between 28.3294898925289 and 3000.4648240612346, std, heatmap, 176
percent_outliers_1_99 between 0.9165140006619115 and 0.990797292186368, percent_outliers_1_99, bar, 5578
num_uppercase_characters between 0 and 6, num_uppercase_characters, box, 2588
normalized_mean between 0.6351002664527585 and 0.7784608491774528, normalized_mean, bar, 3320
time, data_type, histogram, 47
max between 56.596889114379884 and 639.0702552057083, max, line, 8621
normalized_range between 21.228070812840617 and 28.202717590331986, normalized_range, line, 10398
num_uppercase_characters between 0 and 6, num_uppercase_characters, line, 19782
euro, symbol_in_name, scatter, 12
gini between 0.2661612808704376 and 0.381471216414244, gini, heatmap, 95
dollar, symbol_in_name, bar, 98
var between 802.6463076486889 and 8941665.196451588, var, scatter, 13103
normalized_range between 1.784245115326297 and 2.6604745115772372, normalized_range, scatter, 12788
med_abs_dev between 0.7801671246847796 and 2.1782844193520083, med_abs_dev, scatter, 9979
Fifth-order moment between -1201.2660502772187 and -5.119229860089301e-08, Fifth-order moment, histogram, 562
is_lin_space_True, is_lin_space, heatmap, 42
var between 8941665.196451588 and 110410814.59999862, var, scatter, 13618
percent_outliers_3iqr between 0.9775492457612869 and 1.9800000190734863, percent_outliers_3iqr, histogram, 687
hasoutliers_3std, has_outliers, histogram, 2312
normalized_mean between 0.9896777660615983 and 2, normalized_mean, bar, 4241
hasoutliers_1_99, has_outliers, scatter, 63298
var between 32.22537642817343 and 802.6463076486889, var, bar, 5862
min between 9.322483742621632 and 69.52466286197784, min, bar, 4521
integer, data_type, histogram, 1812
Sixth-order moment between 131908579289215120000 and 132595426535764380000000, Sixth-order moment, scatter, 9887
Third Quartile between 1.65858569099057 and 18.23213297659351, Third Quartile, bar, 6334
Seventh-order moment between 0.035443333685398086 and 35631.60671685986, Seventh-order moment, scatter, 21655
first_char_uppercase_name_True, first_char_uppercase_name, scatter, 55652
space, symbol_in_name, histogram, 2234
max between 639.0702552057083 and 26214.49350302417, max, scatter, 15250
avg_abs_dev between 2579.8562310987904 and 7894.221777343751, avg_abs_dev, heatmap, 163
coeff_var between 0.6636052427753325 and 1.7603407242221216, coeff_var, bar, 4789
gini between 0.1794668331501945 and 0.2661612808704376, gini, bar, 3129
entropy between 7.226597045621564 and 8.682643008232112, entropy, histogram, 1113
entropy between 0.22412365078926086 and 1.3727904235932133, entropy, box, 1392
normality_p between 0.590958889088323 and 1.666847586631775, normality_p, bar, 4196
var between 1.6052005600929224 and 32.22537642817343, var, bar, 4548
median between 5.251452979118592 and 30.791238223660386, median, heatmap, 154
max between 1.369510426136755 and 5.469374160151328, max, histogram, 924
